keyword,keyword_zh,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,school,youtube
glove puppet (n.),布袋戲偶,Students watch closely and learn the movements used in traditional glove puppet shows.,學生仔細觀察並學習傳統布袋木偶表演中的動作。,A performer teaches students how to control a glove puppet step by step.,演員一步步教導學生如何控制布袋木偶。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=riZWqx6KrQ0
Indonesian dance (n.),印尼舞蹈,Students practice an Indonesian dance with horse props.,學生用馬道具練習印尼舞蹈。,They follow the teacher’s movements and learn the dance steps together.,他們跟著老師的動作，一起學習舞步。,彰化縣北斗鎮萬來國小,https://www.youtube.com/watch?v=YCRGFjsBOR0
escape training (n.),逃生訓練,Firefighters visit the school to conduct a fire escape training session.,消防員來到學校進行火災逃生訓練。,Teachers and staff learn how to use the escape ladder safely during the fire escape training session.,教師和工作人員在火災逃生訓練中學習如何安全使用逃生梯。,彰化縣北斗鎮萬來國小,https://www.youtube.com/watch?v=uY-uZ296jiM
online class (n.),線上課,They interact with the teacher on screen and practice speaking English during this online class.,他們在線上課堂上與螢幕上的老師互動，並練習英語口語。,Students join an online class as part of an international education program.,作為國際教育計畫的一部分，學生們參加了線上課程。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=Y4DdRHrVASk
agriculture class (n.),食農課,"In the agriculture class, students loosen the soil and mix in fertilizer.",在農業課上，學生鬆土、施肥。,They learn basic farming skills by working together outdoors during the agriculture class.,他們在農業課上一起在戶外工作，學習基本的農耕技能。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=4LdJyevUArs
jump rope (n.),跳繩,The kids jump rope to get some exercise.,孩子們跳繩鍛鍊身體。,"When the weather is nice, you can go outside to jump rope!",天氣好的時候，你可以到外面去跳繩。,彰化縣溪州鄉南州國小,https://www.youtube.com/watch?v=XO8Zsllcx4w
space science (n.),太空科學,The students attend a fun talk about space science in the auditorium.,學生們在禮堂參加一場關於太空科學的有趣講座。,They learn interesting facts about space science and enjoy asking questions.,他們學習有關太空科學的有趣事實並喜歡提問。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=vpjhJSOoFFA
salad (n.),沙拉,The students are gathering vegetables for a salad.,學生們正在採摘蔬菜做沙拉。,Many people enjoy eating different types of salad.,許多人喜歡吃不同類型的沙拉。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=4320-cWjBdA
garden tools (n.),園藝工具,"Garden tools, such as trowels, shovels, hoes, and picks, make gardening much easier.",園藝工具，如小鏟子、鏟子｜鋤頭和尖鋤，使園藝變得更為容易。,Some garden tools are designed for loosening soil and digging into it.,有些園藝工具設計來鬆土與挖土。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=DpBVpzafSHs
woodball (n.),木球,Woodball is a sport where a mallet is used to pass a ball through gates.,木球是用球棍擊球通過球門的一項運動。,Woodball is very much the same as golf.,木球很類似高爾夫球。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=LdFTLMp6gQU
cross (v.),穿越1,The students cross the street to get to school.,學生們要過馬路去學校。,They have to be careful when crossing the street.,他們過馬路時必須小心。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=SMlBvxe0kfQ
dodgeball (n.),躲避球,Dodgeball is a fast-paced game where the goal is to eliminate all the players from the opposing team.,躲避球是一種節奏快速的遊戲，目標是將對手隊伍的所有選手淘汰出局。,"In dodgeball, you eliminate an opposing player by hitting them with the ball.",在躲避球比賽中，你用球擊中對方的選手讓他們出局。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=eoWDPn2ICMY
lion dance (n.),舞獅1,The lion dance is a traditional dance performed during the Lunar NewYear.,舞獅是農曆新年期間表演的傳統舞蹈。,"Some students perform the lion dance, while other students play percussion instruments.",有些學生表演舞獅，有些學生則演奏打擊樂器。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=fYyMZnpKuw4
recycling (n.),回收,Recycling is a way to reuse materials like paper and plastic.,資源回收是將紙類和塑膠之類的材質再次回收使用。,Recycling can help take care of the planet.,資源回收有助於照顧我們的地球。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=oC9AUHZz_JU
Taiko drum (n.),太鼓,The students practice the Taiko drum.,學生們練習打太鼓。,They play the Taiko drum in unison.,他們打太鼓時動作整齊劃一。,彰化縣溪州鄉南州國小,https://www.youtube.com/watch?v=d-cAtdmknMg
3-on-3 basketball game (n.),三對三鬥牛賽,The 3-on-3 basketball game starts with the principal making the first throw.,三對三籃球賽以校長第一次投球開始。,Fifth and sixth grade boys play the 3-on-3 basketball game in two teams with the coach as the referee.,五年級和六年級的男孩分成兩隊進行三對三籃球比賽，由教練擔任裁判。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=BIlKxPZdSVg
air blaster (n.),空氣炮,The students are using air blasters to shoot at targets.,學生們正在使用空氣槍射擊目標。,They take turns shooting the air blaster while cheering each other on.,他們輪流發射空氣爆破器，同時互相加油。,彰化縣員林市育英國小,https://www.youtube.com/watch?v=KtP0nTbX9HQ
coaster (n.),杯墊,The students are using soft pastels to decorate their own coasters.,學生們正在使用柔和的粉彩來裝飾自己的杯墊。,They are using their fingers to mix colors and make pretty coasters.,他們用手指混合顏色並製作漂亮的杯墊。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=aYW7W7m2ATI
colored pencil (n.),色鉛筆,The students are using colored pencils to draw during art class.,美術課上，學生們正在用色鉛筆畫畫。,They focus on shading and coloring their drawings with colored pencils.,他們專注於用色鉛筆為繪畫添加陰影和顏色。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=dg4RsK9QuH8
competition (n.),比賽,The school is holding a fun jump rope competition for 1st to 4th graders.,學校正在為一至四年級的學生舉辦一場有趣的跳繩比賽。,"At the competition, older students help count the jumps as everyone tries their best.",比賽中，年齡較大的學生幫忙計算跳躍次數，每個人都盡力而為。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=FFhG2xvoi1U
contest (n.),比賽,Students join the Taiwanese storyelling contest to share fun stories in Taiwanese.,學生們參加台灣說故事比賽，用台灣話分享有趣的故事。,A sixth-grader hosts the contest while the teachers judge it.,六年級學生主持比賽，由老師負責評審。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=06Nc2im-m34
learn (v.),學習,Students listen carefully to the teacher's lecture while taking notes to learn better.,學生一邊認真聽老師講課，一邊做筆記，以便更好地學習。,Interactive games make learning more fun and effective.,互動遊戲使學習變得更有趣、更有效。,彰化縣鹿港鎮鹿港國小,https://www.youtube.com/watch?v=xeMs9xXVOwQ
map (n.),地圖,The students are reading a campus map to find the treasure.,學生們正在閱讀校園地圖以尋找寶藏。,They work in teams and use the map to follow the clues.,他們分組工作並利用地圖追蹤線索。,彰化縣二林鎮廣興國小,https://www.youtube.com/watch?v=pZqtPRubMtg
model structure (n.),模型建築,"Students are using craft paper, glue, and craft sticks to build model structures.",學生們使用牛皮紙、膠水和工藝棒來搭建模型建築。,They are designing and creating their own model structures like junior architects.,他們就像小小建築師一樣，設計並創作屬於自己的模型建築。,彰化縣員林市育英國小,https://www.youtube.com/watch?v=cNaXdxFE7_s
shark hat (n.),鯊魚帽,The students are wearing their shark hats while smiling for the camera.,學生們戴著鯊魚帽，對著鏡頭微笑。,They proudly show their shark hats and strike fun poses.,他們自豪地展示自己的鯊魚帽並擺出有趣的姿勢。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=jav-6ZPpu90
sugarcane (n.),甘蔗,"With the teacher's help, students use sugarcane pulp to make handmade paper in class.",在老師的幫助下，學生在課堂上利用甘蔗漿製作手工紙。,They learn how to reuse sugarcane waste while enjoying the papermaking process.,他們在體驗造紙過程的同時，也學習如何重新利用甘蔗廢棄物。,彰化縣二林鎮廣興國小,https://www.youtube.com/watch?v=Z9kduxGMc5g
tea culture (n.),茶文化,"In tea culture, the host prepares tea for the guests.",在茶文化中，主人為客人泡茶。,Tea culture is very important in Taiwan.,茶文化在台灣非常重要。,彰化縣花壇鄉文祥國小,https://www.youtube.com/watch?v=fMb13aRTfYU
mobile library (n.),行動圖書館,The mobile library is a truck that's been converted into a small library.,行動圖書館是由卡車改裝的小圖書館。,The mobile library can bring lots of books to students at different schools!,行動圖書館可以將書帶給不同學校的學生閱讀。,彰化縣花壇鄉文祥國小,https://www.youtube.com/watch?v=TlPW30YyYI8
campaign (n.),選舉活動,The students are campaigning for their election.,學生們正在為選舉進行宣傳活動。,"When campaigning, the candidates talk about their policies.",競選時，候選人談論他們的政見。,彰化縣北斗鎮萬來國小,https://www.youtube.com/watch?v=WUlczPj2MbA
